                                               queryItem  queryIndex             stringId  ncbiTaxonId    taxonName    preferredName                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              annotation Uniprot accession                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Biological Processes                                                                                                                                                                                                                                                                                                    Evidences
                                     elongation factor 2           0 4530.OS02T0519900-01         4530 Oryza sativa        OsJ_06933                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 Elongation factor 2; Os02g0519900 protein; Putative elongation factor 2            Q6H4L2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          [translational elongation]                                                                                                                                                                                                                                                                                             [IBA:GO_Central]
                                            Os08g0480800         139 4530.OS08T0480800-01         4530 Oryza sativa            GF14A                                                                                                                                                                                                                                                                                                                                                                                                                                               14-3-3-like protein GF14-A; Is associated with a DNA binding complex that binds to the G box, a well-characterized cis-acting DNA regulatory element found in plant genes            Q84J55                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         [protein localization, signal transduction]                                                                                                                                                                                                                                                                             [IBA:GO_Central, IBA:GO_Central]
                                            Os04g0404400         140 4530.OS04T0404400-01         4530 Oryza sativa  OS04T0404400-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Os04g0404400 protein        A0A0P0WA63                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                               inorganic pyrophosphatase         143 4530.OS01T0322300-00         4530 Oryza sativa  OS01T0322300-00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Soluble inorganic pyrophosphatase (Pyrophosphate phospho-hydrolase) (PPase)-like protein            Q657N1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [phosphate-containing compound metabolic process]                                                                                                                                                                                                                                                                                             [IBA:GO_Central]
                                            Os07g0170200         144 4530.OS07T0170200-00         4530 Oryza sativa  OS07T0170200-00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  Putative uncharacterized protein; Os07g0170200 protein        A0A0P0X3I2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                            Os05g0569500         145 4530.OS05T0569500-01         4530 Oryza sativa  OS05T0569500-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Putative embryo-specific protein Ose731; cDNA clone:J033045K24, full insert sequence            Q6AUN1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                         Cupin family protein, expressed         146 4530.OS03T0663800-01         4530 Oryza sativa  OS03T0663800-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      63 kDa globulin-like protein; Seed storage protein            Q75GX9                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                thioredoxin peroxidase A         148 4530.OS07T0638300-01         4530 Oryza sativa       OsJ_024297                                                                                                                                                                                                                                                                                                                                                                   1-Cys peroxiredoxin A; Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively (By similarity). Seems to contribute to the inhibition of germination during stress            B7ERQ1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                            Os03g0277500         150 4530.OS03T0277500-01         4530 Oryza sativa  OS03T0277500-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Os03g0277500 protein        A0A0P0VW37                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                             thioredoxin         151 4530.OS07T0657900-01         4530 Oryza sativa        OsJ_25429                                                                                                                                                                                                                                                                            Thioredoxin reductase NTRC; Thioredoxin reductase (TR) that exhibits both TR and thioredoxin (Trx) activities. Contains a C-terminal functional Trx domain. Functions as an electron donor for the plastidial 2-Cys peroxiredoxin BAS1 and participates in a NADPH-dependent hydrogen peroxide scavenging system in chloroplasts in the dark        A0A0P0X9V7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                            Os03g0822200         153 4530.OS03T0822200-01         4530 Oryza sativa        OsJ_13157                                                                                                                                                                                                                                                                                                                                       cDNA clone:006-208-E08, full insert sequence; Expressed protein; Os03g0822200 protein; Putative uncharacterized protein OSJNBb0081B07.22; cDNA clone:006-208-E08, full insert sequence; cDNA clone:006-305-C03, full insert sequence; cDNA clone:J023017D04, full insert sequence            Q852A3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                            Os03g0659300         156 4530.OS03T0659300-01         4530 Oryza sativa  OS03T0659300-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Glyoxalase family protein, expressed; Os03g0659300 protein; cDNA, clone: J065130F16, full insert sequence            Q10FQ7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                            Os05g0116100         157 4530.OS05T0116100-01         4530 Oryza sativa            DHAR1                                                                                                                                       Probable glutathione s-transferase dhar1, cytosolic; Involved in ascorbate homeostasis. Maintains redox pools of ascorbate by recycling dihydroascorbate (DHA) to ascorbate (Probable). Involved in scavenging reactive oxygen species (ROS) under oxidative stresses. Possesses dehydroascorbate reductase (DHAR) activity in vitro . May function via a ping-pong reaction mechanism with an electron transfer at the active site . Possesses chaperone-like activity in vitro             Q65XA0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [ascorbate glutathione cycle, cellular oxidant detoxification, protein glutathionylation]                                                                                                                                                                                                                                                               [IDA:UniProtKB, IDA:UniProtKB, IBA:GO_Central]
                                            Os05g0542500         158 4530.OS05T0542500-02         4530 Oryza sativa            LEA19                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Late embryogenesis abundant protein, group 3; Involved in response to stress            V5K4U5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                            Os09g0467200         159 4530.OS09T0467200-01         4530 Oryza sativa        OsJ_29684                                                                                                                                                                                                                                                                                           cDNA clone:001-002-F11, full insert sequence; Os09g0467200 protein; Putative glutathione S-transferase; Putative glutathione S-transferase OsGSTU17; cDNA clone:001-002-F11, full insert sequence; cDNA clone:001-040-D11, full insert sequence; cDNA clone:J013026J15, full insert sequence ; Belongs to the GST superfamily            Q93WY5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     [glutathione metabolic process]                                                                                                                                                                                                                                                                                             [IBA:GO_Central]
                               glutathione S-transferase         165 4530.OS10T0528300-01         4530 Oryza sativa        OsJ_32231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         Glutathione S-transferase; Os10g0528300 protein; Putative glutathione S-transferase; Putative glutathione S-transferase OsGSTU4            Q9FUE4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     [glutathione metabolic process]                                                                                                                                                                                                                                                                                             [IBA:GO_Central]
                                            Os03g0197300         166 4530.OS03T0197300-01         4530 Oryza sativa  OS03T0197300-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Os03g0197300 protein        A0A0P0VUB4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                            Os01g0210500         167 4530.OS01T0210500-01         4530 Oryza sativa        OsJ_00844                                                                                                                                                                                                                                                                                                                                                    cDNA clone:001-027-A02, full insert sequence; Os01g0210500 protein; Putative heme binding protein 2; Uncharacterized protein; cDNA clone:001-027-A02, full insert sequence; cDNA clone:J013136I24, full insert sequence; cDNA clone:J023108G02, full insert sequence            Q9LD82                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                            Os05g0468800         168 4530.OS05T0468800-01         4530 Oryza sativa  OS05T0468800-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Os05g0468800 protein            Q0DHF7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                            Os10g0437500         169 4530.OS10T0437500-01         4530 Oryza sativa        OsJ_31643                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  Os10g0437500 protein; Universal stress protein family protein, expressed; cDNA clone:002-124-E04, full insert sequence            Q7XE49                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                            Os08g0129200         170 4530.OS08T0129200-02         4530 Oryza sativa             CSP2                                                                                                                                                                                                                                                                                                                                                                                                                                              cDNA clone:J033050L02, full insert sequence; Cold shock domain protein 2; Os08g0129200 protein; Putative cold shock protein-1; cDNA clone:J033050L02, full insert sequence            Q84UR8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                            Os03g0305600         171 4530.OS03T0305600-01         4530 Oryza sativa  OS03T0305600-01                                                                                                                                                                                                                                                                                                                                                                                         cDNA clone:001-120-C03, full insert sequence; Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein, putative, expressed; Os03g0305600 protein; cDNA clone:001-120-C03, full insert sequence            Q10MK4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                            Os07g0191700         172 4530.OS07T0191700-01         4530 Oryza sativa        OsJ_23409                                                                                                                                                                                                                                                                                                                                                                                                                                                       Os07g0191700 protein; Putative translation elongation factor EF-1 alpha; cDNA clone:J013066C04, full insert sequence; cDNA clone:J033143I15, full insert sequence            Q69S66                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                            Os01g0184100         175 4530.OS01T0184100-01         4530 Oryza sativa          HSP18.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           18.0 kDa class II heat shock protein ; Belongs to the small heat shock protein (HSP20) family            E5D3J5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                            Os01g0722800         176 4530.OS01T0722800-00         4530 Oryza sativa        OsJ_03301                                                                                                                                                                                                                                                          4-hydroxy-4-methyl-2-oxoglutarate aldolase; Catalyzes the aldol cleavage of 4-hydroxy-4-methyl-2- oxoglutarate (HMG) into 2 molecules of pyruvate. Also contains a secondary oxaloacetate (OAA) decarboxylase activity due to the common pyruvate enolate transition state formed following C-C bond cleavage in the retro-aldol and decarboxylation reactions        A0A5S6RDT9                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                            Os05g0157200         177 4530.OS05T0157200-01         4530 Oryza sativa        OsJ_17188                                                                                                                                                                                                                                                                                                                                                                                                                                                            cDNA clone:J013041K03, full insert sequence; Os05g0157200 protein; Putative uncharacterized protein P0676G05.12; cDNA clone:J013041K03, full insert sequence            Q75M01                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                            Os01g0225600         178 4530.OS01T0225600-00         4530 Oryza sativa        OsJ_00952                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Os01g0225600 protein; Putative late embryogenesis-abundant protein; Uncharacterized protein        A0A5S6RA95                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                            Os06g0221300         182 4530.OS06T0221300-01         4530 Oryza sativa        OsJ_20632                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Os06g0221300 protein; Putative dehydration stress-induced protein            Q0DDI2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
